,Worldcup,Date,Source,Likes,Retweets,Subjectivity,Polarity,Analysis
40,": ROLL CALL: WORLD CUP ENJOYOOORS!

TIME FOR THE ZKX CRYSTAL BALL 4 with a twist, as promised ⚽  

Ahead of the World Cup q…",2022-12-09 09:57:17+00:00,Twitter for Android,0,22,0.0,0.0,Neutral
41,": Good morning. Who better to look forward to these quarter finals, back to previous World Cup finals, talk Messi, Maradona, Mba…",2022-12-09 09:56:50+00:00,Twitter for Android,0,25,0.3166666666666667,0.2583333333333333,Positive
42,"World Cup quarter finals are on today🔥🔥

Croatia vs Brazil 6pm
Netherlands vs Argentina 10pm
Bet with… ",2022-12-09 09:56:43+00:00,Twitter for iPhone,2,2,0.0,0.0,Neutral
43,21 Yeah. Difficult to get excited about a Championship level game when it’s being played on the same d… ,2022-12-09 09:56:39+00:00,Twitter for iPhone,0,0,0.56875,-0.13125,Negative
44,"Croatia vs Brazil, FIFA World Cup Quarter-Finals: When And Where To Watch Live Telecast, Live Streaming | Football … ",2022-12-09 09:56:35+00:00,Jetpack.com,0,0,0.5,0.13636363636363635,Positive
45,616: The World Cup Quarter Finals begin today. ,2022-12-09 09:56:25+00:00,Twitter for iPhone,0,8,0.0,0.0,Neutral
46,": Good morning. Who better to look forward to these quarter finals, back to previous World Cup finals, talk Messi, Maradona, Mba…",2022-12-09 09:56:10+00:00,Twitter for iPad,0,25,0.3166666666666667,0.2583333333333333,Positive
47,The key stats as England take on holders France in the World Cup quarter-finals ,2022-12-09 09:56:02+00:00,dlvr.it,0,0,1.0,0.0,Neutral
48,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:55:57+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
49,"_: 🏆🚨WORLD CUP GIVEAWAY🚨🏆

IF BRA &amp; ARG GO THROUGH TO THE SEMI FINALS TODAY WE’LL GIVE AWAY A  SHIBOX 🎁

TO EN…",2022-12-09 09:55:56+00:00,Twitter Web App,0,85,0.0,0.0,Neutral
50,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:55:53+00:00,Twitter for Android,0,96,0.0,0.0,Neutral
51,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:55:46+00:00,Twitter for Android,0,96,0.0,0.0,Neutral
52,"You know the drill.

We're open for ALL of the World Cup Quarter finals, but only one really matters ... 🏴󠁧󠁢󠁥󠁮󠁧󠁿🦁 🦁… ",2022-12-09 09:55:44+00:00,Twitter Web App,0,0,0.5666666666666667,0.06666666666666667,Positive
53,: World Cup - Quarter Finals ,2022-12-09 09:55:44+00:00,Twitter for iPhone,0,3,0.0,0.0,Neutral
54,": On the eve of the WorldCup2022 Quarter Finals, we're giving away a 2022 Football World Cup Shirt of your choice!⚽️

To enter…",2022-12-09 09:55:36+00:00,Twitter Web App,0,89,0.0,0.0,Neutral
55,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:55:32+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
56,"_: 🏆🚨WORLD CUP GIVEAWAY🚨🏆

IF BRA &amp; ARG GO THROUGH TO THE SEMI FINALS TODAY WE’LL GIVE AWAY A  SHIBOX 🎁

TO EN…",2022-12-09 09:55:25+00:00,Twitter for iPhone,0,85,0.0,0.0,Neutral
57,"Croatia vs Brazil, FIFA World Cup Quarter-Finals: When And Where To Watch Live Telecast, Live Streaming ",2022-12-09 09:55:24+00:00,Jetpack.com,0,0,0.5,0.13636363636363635,Positive
58,": A stacked weekend lies ahead as we move into the quarter-finals of the FIFA World Cup! ⚽😍

Catch all the action LIVE and FR…",2022-12-09 09:55:17+00:00,Twitter for Android,0,2,0.3,0.11818181818181818,Positive
59,": Brazil seek to become the first team through to the World Cup semi-finals when they play Croatia on Friday

Wins for Brazil and Ar…",2022-12-09 09:55:00+00:00,Twitter for Android,0,14,0.26666666666666666,0.275,Positive
60,"We are LIVE on stream in 10 minutes! 📺🚨

Join in to hear us discuss the World Cup Quarter finals and offer up our t… ",2022-12-09 09:55:00+00:00,Twitter Web App,3,0,0.5,0.17045454545454544,Positive
61,": I am super excited to watch the FIFA World Cup Quarter Finals on 9th and 10th December.

Streaming free on Jio Cinema A…",2022-12-09 09:54:50+00:00,Twitter Web App,0,10,0.7388888888888889,0.36944444444444446,Positive
62,": 🚨 SCOUT PICKS - Matchday 5 🌎

📝 74 talks through the reasoning behind the selections 📲  

🔢 H…",2022-12-09 09:54:50+00:00,Twitter for Android,0,10,0.7,-0.4,Negative
63,"Preview the games as the Quarter finals come knocking. Force of nature Mbappe, or virtuoso Messi, or the flair of S… ",2022-12-09 09:54:36+00:00,Twitter Web App,1,2,0.0,0.0,Neutral
64,I am selling my two tickets for the quarter finals of the World Cup 22 between England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 and France I can’t a… ,2022-12-09 09:54:19+00:00,Twitter for iPhone,0,0,0.0,0.0,Neutral
65,World Cup 2022: Can you beat our predictor in the quarter-finals? | Qatar World Cup 2022 News ,2022-12-09 09:54:17+00:00,Jetpack.com,0,0,0.0,0.0,Neutral
66,World Cup 2022: Can you beat our predictor in the quarter-finals? | Qatar World Cup 2022 News ,2022-12-09 09:54:14+00:00,Jetpack.com,0,0,0.0,0.0,Neutral
67,": Today, five-times champions Brazil face 2018 runners-up Croatia, before two-times champs Argentina meet 1974, 78 &amp; 2010 runners…",2022-12-09 09:54:04+00:00,Twitter for Android,0,1,0.0,0.0,Neutral
68,": Brazil will take on the 2018 runners-up on Friday, December 9, in the first quarter-final match at Education City Stad…",2022-12-09 09:53:38+00:00,Twitter Web App,0,1,0.3333333333333333,0.25,Positive
69,": ROLL CALL: WORLD CUP ENJOYOOORS!

TIME FOR THE ZKX CRYSTAL BALL 4 with a twist, as promised ⚽  

Ahead of the World Cup q…",2022-12-09 09:53:35+00:00,Twitter Web App,0,22,0.0,0.0,Neutral
70,Louis van gaal must be coming in with revenge in his mind. He remembers 2014 very well and masherano decided to be… ,2022-12-09 09:53:21+00:00,Twitter for iPhone,0,0,0.3,0.2,Positive
71,": 1000 $HTR GIVEAWAY! 🎁

Quarter Finals - Day 1! 🏆

CRO 🇭🇷 VS 🇧🇷 BRA
NED 🇳🇱 VS 🇦🇷 ARG

Enter below!👇
",2022-12-09 09:53:17+00:00,Twitter for Android,0,73,0.0,0.0,Neutral
72,"Brazil will take on the 2018 runners-up on Friday, December 9, in the first quarter-final match at Education City S… ",2022-12-09 09:53:03+00:00,TweetDeck,1,1,0.3333333333333333,0.25,Positive
73,Croatia take on Brazil in the first quarter-final of the ongoing FIFAWorldCup at the Education City Stadium on F… ,2022-12-09 09:52:47+00:00,TweetDeck,1,1,0.3333333333333333,0.25,Positive
74,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:52:24+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
75,"_: 🏆🚨WORLD CUP GIVEAWAY🚨🏆

IF BRA &amp; ARG GO THROUGH TO THE SEMI FINALS TODAY WE’LL GIVE AWAY A  SHIBOX 🎁

TO EN…",2022-12-09 09:52:16+00:00,Twitter for Android,0,85,0.0,0.0,Neutral
76,": World Cup quarter finals kicks off today 
As Brazil will endeavour to keep their hopes of lifting a record extending 6th…",2022-12-09 09:52:14+00:00,Twitter for iPhone,0,6,0.0,0.0,Neutral
77,World Cup - Quarter Finals ,2022-12-09 09:52:12+00:00,Twitter for iPhone,5,3,0.0,0.0,Neutral
78,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:52:04+00:00,Twitter for Android,0,96,0.0,0.0,Neutral
79,": World Cup - Quarter Finals!🤴🏽🏆

We’ve got two tips, a safer one with the odds of 3.50 &amp; a 9/1!🔥

Free bets (£600 worth of…",2022-12-09 09:51:43+00:00,Twitter for iPhone,0,13,0.45,0.35,Positive
80,": “The World Cup quarter finals starts today.
Will Morocco be the first African semi finalists?
Will Messi or Ronaldo lift i…",2022-12-09 09:51:36+00:00,Twitter for Android,0,5,0.16666666666666666,0.125,Positive
81,": The tournament favourites versus the 2018 runners-up

Then a repeat of the 1978 final in another glamorous match-up

If the t…",2022-12-09 09:51:34+00:00,Twitter for Android,0,5,1.0,0.0,Neutral
82,"As the quarter finals kick off, have you submitted your semi-finals predictions as yet?? Check out our post from ye… ",2022-12-09 09:51:31+00:00,Twitter Web App,0,0,0.0,0.0,Neutral
83,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:51:23+00:00,Twitter Web App,0,96,0.0,0.0,Neutral
84,": From Gaza 🇵🇸, Congratulations to Morocco 🇲🇦 upon progressing to the World Cup Quarter Finals!

FIFAWorldCup ",2022-12-09 09:51:21+00:00,Twitter for Android,0,530,0.0,0.0,Neutral
85,World Cup 2022: Can you beat our predictor in the quarter-finals? ,2022-12-09 09:51:19+00:00,KBYzanetWPtoTwitter,0,0,0.0,0.0,Neutral
86,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:51:18+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
87,"_: 🏆🚨WORLD CUP GIVEAWAY🚨🏆

IF BRA &amp; ARG GO THROUGH TO THE SEMI FINALS TODAY WE’LL GIVE AWAY A  SHIBOX 🎁

TO EN…",2022-12-09 09:51:09+00:00,Twitter Web App,0,85,0.0,0.0,Neutral
88,Using our algorithm we have predicted the likelihood of each team winning in normal time in their respective quarte… ,2022-12-09 09:51:08+00:00,Twitter for iPhone,0,0,0.5,0.21666666666666667,Positive
89,"_188: Got x3  tickets for the World Cup  quarter finals.  Morocco 🇲🇦 vs Portugal 🇵🇹 

Inbox me if you’re really interested please…",2022-12-09 09:50:53+00:00,Twitter for iPhone,0,1,0.5,0.25,Positive
90,"_: 🏆🚨WORLD CUP GIVEAWAY🚨🏆

IF BRA &amp; ARG GO THROUGH TO THE SEMI FINALS TODAY WE’LL GIVE AWAY A  SHIBOX 🎁

TO EN…",2022-12-09 09:50:40+00:00,Twitter Web App,0,85,0.0,0.0,Neutral
91,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:50:22+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
92,Croatia vs Brazil quarter-finals predictions: World Cup 2022 ,2022-12-09 09:50:18+00:00,KBYzanetWPtoTwitter,0,0,0.0,0.0,Neutral
93,": Another giveaway

Name the four countries that will qualify for the semi finals of the 2022 FIFA World Cup

First TEN…",2022-12-09 09:50:15+00:00,Twitter for Android,0,191,0.3333333333333333,0.25,Positive
94,": Another giveaway

Name the four countries that will qualify for the semi finals of the 2022 FIFA World Cup

First TEN…",2022-12-09 09:50:14+00:00,Twitter Web App,0,191,0.3333333333333333,0.25,Positive
95,": 4th July 1998
World Cup 1/4 finals
🇦🇷 vs 🇳🇱
Do you remember ? ",2022-12-09 09:50:14+00:00,Twitter for iPhone,0,96,0.0,0.0,Neutral
96,: FIFAWorldCup quarter-finals start today! It's Brazil vs Croatia starting at 8:30 PM IST which will be followed by Argentina vs N…,2022-12-09 09:50:06+00:00,Twitter Web App,0,14,0.1,0.0,Neutral
97,": Using the quarter finals of the World Cup as the perfect platform, Nike launch the next generation Phantom GX, which sees…",2022-12-09 09:50:02+00:00,Twitter for iPhone,0,6,0.5,0.5,Positive
98,": After a two-day break, Qatar2022 is back for the 1st day of the quarter-finals. Here's the schedule for today 👇

CRO v BR…",2022-12-09 09:50:02+00:00,Twitter for Android,0,9,0.0,0.0,Neutral
99,"_: 🏆🚨WORLD CUP GIVEAWAY🚨🏆

IF BRA &amp; ARG GO THROUGH TO THE SEMI FINALS TODAY WE’LL GIVE AWAY A  SHIBOX 🎁

TO EN…",2022-12-09 09:50:01+00:00,Twitter for iPhone,0,85,0.0,0.0,Neutral
